ALELO REFEICAO
------ CARD RANGE ----
0000402588 0000402588
0000404347 0000404347
0000405052 0000405055
0000405874 0000405881
0000430423 0000430423
0000430426 0000430427
0000430475 0000430478
0000438060 0000438061
0000438069 0000438069
0000438071 0000438071
0000465445 0000465445
0000470072 0000470077
0000506699 0000506699
0000506703 0000506703
0000506713 0000506713
0000509901 0000509964
0000509880 0000509900
0000506754 0000506756
0000506757 0000506757
0000506758 0000506759
0000506766 0000506767
0000506769 0000506769


ALELO ALIMENTACAO
------ CARD RANGE ----
0000402587 0000402587
0000405882 0000405887
0000406232 0000406233
0000430470 0000430470
0000430471 0000430471
0000430473 0000430474
0000438062 0000438064
0000438073 0000438075
0000470061 0000470068
0000496061 0000496063
0000496065 0000496067
0000506704 0000506706
0000506714 0000506714
0000506716 0000506716
0000506772 0000506772
0000509808 0000509879
0000506700 0000506702
0000506760 0000506762
0000506763 0000506763
0000506764 0000506765
0000506770 0000506771
0000506773 0000506773
0000509880 0000509900

ALELO CULTURA        
------ CARD RANGE ----
0000509033 0000509033
0000509880 0000509900
0000509965 0000509986
0000506768 0000506768
0000509015 0000509019

ALELO AUTO             
------ CARD RANGE ----
0000509987 0000509999
0000506749 0000506752


TICKET RESTAURANTE   
------ CARD RANGE ----
0000603342 0000603342

TICKET ALIMENTACAO   
------ CARD RANGE ----
0000602651 0000602651 

TICKET CULTURA       
------ CARD RANGE ----
0000308513 0000308513

ELO
506700 506714
506716 506716
506737 506737
506760 506765
506770 506773
509811 509902
506749 506749
509987 509999
431274 431274
506717 506718
506733 506739
506741 506743
506774 506774
506776 506776
506778 506778
509004 509009
509013 509013
509020 509029
509031 509031
509033 509033
509035 509053
509064 509064
509077 509080
636297 636297
509964 509986
451416 451416
506722 506722
506734 506736
509003 509003
509010 509011
509030 509030
509065 509065
509073 509073
627780 627780
401178 401179
438935 438935
457393 457631
457632 457632
504175 504175
506720 506721
506724 506740
506744 506748
506753 506753
506775 506775
506777 506777
509000 509002
509066 509069
509072 509072
509074 509074
509076 509076
509081 509083
509085 509810
636368 636368
506707 506708
506715 506715
506719 506719
506750 506752
509012 509012
509014 509019
509032 509032
509034 509034
509054 509063
509070 509071
509075 509075
509084 509084
506699 506699
506703 506703
506709 506709
506713 506713
506723 506723
506738 506738
506754 506759
506766 506769
509903 509963
650901 650920
650031 650033
650035 650051
650485 650538
650541 650598
650700 650718
650720 650727
651652 651679
655000 655019
655021 655058
650405 650439
650921 650978
